Shortage,pworst chi2,pworst mchi2,pworst burg,pworst kl,Supply,Population,Infrastructure,Model
143080,,0,0.0023838,0.00068292,Low,Low,IPR,csiro.mk3.6.0.1.rcp26
258360,,0.01538,0.0087702,0.014235,High,High,IPR,csiro.mk3.6.0.1.rcp45
257410,,0.026664,0.017884,0.025365,Low,High,IPR,csiro.mk3.6.0.1.rcp45
162240,,0,0.0022632,0.00054683,High,Low,IPR,csiro.mk3.6.0.1.rcp45
159300,,0,0.0024358,0.00074659,Low,Low,IPR,csiro.mk3.6.0.1.rcp45
233710,,0.008178,0.0066179,0.0098454,High,High,IPR,csiro.mk3.6.0.1.rcp60
237590,,0.019816,0.010967,0.017864,Low,High,IPR,csiro.mk3.6.0.1.rcp60
144880,,0,0.0021684,0.00045134,High,Low,IPR,csiro.mk3.6.0.1.rcp60
144030,,0,0.0023351,0.00062602,Low,Low,IPR,csiro.mk3.6.0.1.rcp60
233510,,0.016837,0.0093882,0.015338,High,High,IPR,hadgem2.es.1.rcp85
240500,,0.028631,0.02184,0.028052,Low,High,IPR,hadgem2.es.1.rcp85
134600,,0,0.0022801,0.00056496,High,Low,IPR,hadgem2.es.1.rcp85
145710,,0,0.0024558,0.00077174,Low,Low,IPR,hadgem2.es.1.rcp85
257900,,0.016971,0.0094491,0.015443,High,High,IPR,hadgem2.es.1.rcp60
267800,,0.028376,0.02123,0.027688,Low,High,IPR,hadgem2.es.1.rcp60
154190,,0,0.0023018,0.00058863,High,Low,IPR,hadgem2.es.1.rcp60
162130,,0,0.0024934,0.00082033,Low,Low,IPR,hadgem2.es.1.rcp60
245670,,0.013979,0.0082484,0.01325,High,High,IPR,hadgem2.es.1.rcp45
243690,,0.026134,0.017051,0.024686,Low,High,IPR,hadgem2.es.1.rcp45
145220,,0,0.0022674,0.00055132,High,Low,IPR,hadgem2.es.1.rcp45
150690,,0,0.0024491,0.00076332,Low,Low,IPR,hadgem2.es.1.rcp45
237130,,0.014225,0.0083357,0.013418,High,High,IPR,hadgem2.es.1.rcp26
239250,,0.026033,0.016901,0.024558,Low,High,IPR,hadgem2.es.1.rcp26
156840,,0,0.0022485,0.00053135,High,Low,IPR,hadgem2.es.1.rcp26
159360,,0,0.002419,0.00072574,Low,Low,IPR,hadgem2.es.1.rcp26
263850,,0.02346,0.013809,0.021528,High,High,IPR,miroc.esm.chem.1.rcp85
