Shortage,pworst burg,pworst kl,pworst mchi2,Supply,Population,Infrastructure,Model
438920,0.0075711,0.007552,0.0061106,Low,High,WWTP,hadgem2.es.1.rcp45.piecewise
256790,0.0030802,0.0029086,0.0034178,High,Low,WWTP,hadgem2.es.1.rcp45.piecewise
258710,0.00081577,0.00084148,0.0011824,Low,Low,WWTP,hadgem2.es.1.rcp45.piecewise
414020,0.014805,0.022898,0.021953,High,High,WWTP,hadgem2.es.1.rcp26.piecewise
414580,0.0073313,0.0074868,0.0060911,Low,High,WWTP,hadgem2.es.1.rcp26.piecewise
264270,0.0030642,0.0028692,0.0032953,High,Low,WWTP,hadgem2.es.1.rcp26.piecewise
273860,0.00081014,0.00082722,0.0011441,Low,Low,WWTP,hadgem2.es.1.rcp26.piecewise
437150,0.024411,0.028342,0.023869,High,High,WWTP,miroc.esm.chem.1.rcp85.piecewise
486840,0.028041,0.0091638,0.006545,Low,High,WWTP,miroc.esm.chem.1.rcp85.piecewise
267710,0.0032353,0.0032954,0.0045396,High,Low,WWTP,miroc.esm.chem.1.rcp85.piecewise
296130,0.00085665,0.00094626,0.001446,Low,Low,WWTP,miroc.esm.chem.1.rcp85.piecewise
413820,0.019843,0.026276,0.02319,High,High,WWTP,miroc.esm.chem.1.rcp60.piecewise
432470,0.014391,0.0085625,0.0063926,Low,High,WWTP,miroc.esm.chem.1.rcp60.piecewise
269360,0.0031877,0.0031757,0.0042071,High,Low,WWTP,miroc.esm.chem.1.rcp60.piecewise
276330,0.00084465,0.00091528,0.0013712,Low,Low,WWTP,miroc.esm.chem.1.rcp60.piecewise
422290,0.016485,0.024198,0.02245,High,High,WWTP,miroc.esm.chem.1.rcp45.piecewise
485830,0.0084632,0.0077659,0.0061733,Low,High,WWTP,miroc.esm.chem.1.rcp45.piecewise
257140,0.0031123,0.0029877,0.003659,High,Low,WWTP,miroc.esm.chem.1.rcp45.piecewise
267820,0.00082371,0.00086166,0.0012356,Low,Low,WWTP,miroc.esm.chem.1.rcp45.piecewise
411020,0.01434,0.022499,0.021795,High,High,WWTP,miroc.esm.chem.1.rcp26.piecewise
408180,0.006805,0.00733,0.0060436,Low,High,WWTP,miroc.esm.chem.1.rcp26.piecewise
248120,0.0030408,0.0028121,0.0031149,High,Low,WWTP,miroc.esm.chem.1.rcp26.piecewise
271850,0.00080264,0.0008083,0.0010921,Low,Low,WWTP,miroc.esm.chem.1.rcp26.piecewise
434430,0.015987,0.023834,0.022313,High,High,WWTP,miroc5.1.rcp85.piecewise
428950,0.0086153,0.0077985,0.0061827,Low,High,WWTP,miroc5.1.rcp85.piecewise
266120,0.0030977,0.0029517,0.0035499,High,Low,WWTP,miroc5.1.rcp85.piecewise
261720,0.00082069,0.00085396,0.0012155,Low,Low,WWTP,miroc5.1.rcp85.piecewise
385250,0.011196,0.019227,0.020384,High,High,WWTP,miroc5.1.rcp60.piecewise
425210,0.004337,0.0061979,0.0056668,Low,High,WWTP,miroc5.1.rcp60.piecewise
249670,0.0029358,0.0025588,0.0022669,High,Low,WWTP,miroc5.1.rcp60.piecewise
242070,0.00077542,0.0007404,0.00089503,Low,Low,WWTP,miroc5.1.rcp60.piecewise
364480,0.014567,0.022696,0.021874,High,High,WWTP,miroc5.1.rcp45.piecewise
477580,0.0065969,0.0072622,0.0060227,Low,High,WWTP,miroc5.1.rcp45.piecewise
259270,0.0030528,0.0028415,0.0032081,High,Low,WWTP,miroc5.1.rcp45.piecewise
288420,0.00080803,0.00082188,0.0011295,Low,Low,WWTP,miroc5.1.rcp45.piecewise
356530,0.011891,0.020049,0.02076,High,High,WWTP,miroc5.1.rcp26.piecewise
430250,0.0047581,0.0064569,0.0057587,Low,High,WWTP,miroc5.1.rcp26.piecewise
239260,0.0029746,0.0026516,0.0025868,High,Low,WWTP,miroc5.1.rcp26.piecewise
